brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,os,os_bit,display_size,price,memory,star
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,80000,1280,0
ASUS,Vivobook,Intel,Celeron Dual,Missing,4,DDR4,Windows,64,15.6,29890,256,0
acer,Aspire,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,44990,512,0
acer,Aspire,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,57990,512,4.4
HP,15s,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,53490,512,4.5
LG,Gram,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,76990,256,3.7
DELL,Core,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,43970,1024,0
HP,OMEN,Intel,Core i7,11th,16,DDR4,Windows,64,16.1,121990,1024,4.6
acer,Extensa,Intel,Pentium Quad,Missing,4,DDR4,Windows,64,15.6,30990,256,4
HP,OMEN,Intel,Core i7,11th,16,DDR4,Windows,64,16.1,116990,1024,4.4
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,Mac,64,13.3,124990,512,0
ASUS,ExpertBook,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,40990,1280,4.4
Lenovo,Legion,Intel,Core i7,11th,16,DDR4,Windows,64,16,151098,1024,4.5
ASUS,Vivobook,Intel,Core i7,11th,8,DDR4,Windows,64,15.6,78990,512,3.9
DELL,G15,NVIDIA,GeForce RTX,Missing,,,Missing,32,Missing,95990,0,0
DELL,XPS,Intel,Core i7,8th,16,DDR3,Windows,64,13.3,121890,512,4.2
realme,Book,Intel,Core i3,11th,8,DDR4,Windows,64,14,47999,256,0
ASUS,ExpertBook,Intel,Core i3,11th,4,DDR4,Missing,64,15.6,35990,256,4.7
ASUS,TUF,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,64990,512,0
ASUS,Zenbook,Intel,Core i7,8th,8,LPDDR3,Windows,64,14,85990,512,4.4
DELL,Vostro,Intel,Core i3,11th,4,DDR4,Windows,64,14,43990,1280,4.5
MSI,Modern,Intel,Core i5,10th,8,DDR4,Windows,64,14,54990,512,4.3
HP,OMEN,Intel,Core i5,Missing,,,Missing,32,Missing,102551,0,1.7
DELL,Core,Intel,Core i3,11th,8,DDR4,Windows,64,14,71999,256,4.4
ASUS,ROG,AMD,Ryzen 9,Missing,16,LPDDR4X,Windows,64,13.4,124990,1024,0
Lenovo,Ryzen,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,84988,512,4.5
Lenovo,Legion,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,76498,512,4.4
MSI,Katana,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,94990,512,0
HP,Pavilion,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,90990,512,4.4
Vaio,SE,Intel,Core i5,8th,8,DDR4,Windows,64,14,62890,512,0
MICROSOFT,Surface,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15,99990,128,4.3
ASUS,Vivobook,AMD,Ryzen 3,Missing,4,DDR4,Windows,64,15.6,34500,256,5
DELL,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14.96,98920,512,0
Lenovo,Legion,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,130990,1024,0
LG,Gram,Intel,Core i5,11th,8,DDR4,Windows,64,14,76990,256,0
ASUS,Vivobook,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,99990,1024,4.6
HP,Spectre,Intel,Core i5,11th,16,LPDDR4X,Windows,64,13.5,111999,512,4
MSI,GP76,Intel,Core i7,Missing,,,Missing,32,Missing,179990,0,3.8
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,39990,256,4.3
MSI,Pulse,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,129990,1024,0
ASUS,Zenbook,AMD,Ryzen 9,Missing,16,LPDDR4X,Windows,64,14,134990,1024,0
Lenovo,Yoga,Intel,Core i5,10th,8,LPDDR4X,Windows,64,14,70798,512,0
DELL,Vostro,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,14,40590,512,0
Lenovo,Legion,Intel,Core i5,9th,8,DDR4,Windows,64,15.6,59990,512,0
MSI,Modern,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,54990,512,4.4
ASUS,Vivobook,Intel,Core i3,10th,4,DDR4,Windows,64,14,40990,512,4.4
ASUS,Core,Intel,Core i9,10th,32,DDR4,Windows,64,15.6,269990,1024,4.2
acer,ConceptD,Intel,Core i5,8th,8,DDR4,Windows,64,15.6,99500,512,0
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,Windows,64,14,48990,256,4
HP,Spectre,Intel,Core i7,11th,16,LPDDR4X,Windows,64,13.5,149999,1024,0
HP,14s,Intel,Core i5,10th,8,DDR4,Windows,64,14,55990,512,3.8
ASUS,ROG,AMD,Ryzen 7,Missing,16,DDR5,Windows,64,15.6,112990,1024,4.4
Vaio,E,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,15.6,56990,512,4.4
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,64990,1280,4.8
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,41998,256,0
Lenovo,Ideapad,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,14,77988,1024,0
MSI,Core,Intel,Core i7,12th,16,DDR4,Windows,64,15.6,139990,1024,0
ASUS,Zenbook,Intel,Core i5,8th,8,LPDDR3,Windows,64,13.3,72990,512,4.2
HP,OMEN,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,16.1,141990,1024,0
ASUS,ASUS,Intel,Pentium Quad,Missing,4,LPDDR4X,Windows,64,Missing,45990,0,3.8
ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,Windows,32,Missing,21990,0,0
HP,Notebook,Intel,Core i3,11th,8,DDR4,Windows,64,14,39790,1024,4.4
ASUS,ROG,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,76000,1024,0
acer,Predator,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,129990,1024,4.5
acer,Swift,Intel,Core i5,8th,8,DDR3,Windows,64,14,64990,512,4.2
ASUS,Core,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,57990,512,0
HP,OMEN,Intel,Core i7,11th,16,DDR4,Windows,64,16.1,171990,1024,0
ASUS,Core,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,42990,512,4.1
Smartron,t.book,Intel,Core i5,7th,4,DDR3,Windows,64,12.2,52990,128,3.5
ASUS,Vivobook,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,63990,512,3.9
acer,Aspire,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,49990,512,5
Lenovo,Ideapad,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,63990,512,4.5
HP,Ryzen,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,57999,512,3.8
MSI,GP65,Intel,Core i7,Missing,,,Missing,32,Missing,145990,0,0
HP,HP,Intel,Core i5,11th,16,DDR4,Windows,64,13.3,76990,512,0
DELL,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,32,15.6,51990,1280,4.4
ASUS,ROG,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,15.6,129990,1024,3.5
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,66490,1280,4.2
DELL,Inspiron,Intel,Pentium Quad,Missing,4,DDR4,Windows,64,15.6,36000,256,4.4
ASUS,ROG,AMD,Ryzen 7,Missing,16,LPDDR4X,Windows,64,13.4,99990,1024,4.4
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,62998,512,4.1
ASUS,Core,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,41990,256,4.5
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,14,77990,512,4.4
ASUS,ROG,Intel,Core i7,Missing,,,Missing,32,Missing,106167,0,0
MICROSOFT,Surface,Intel,Core i5,8th,8,DDR3,Windows,64,13.5,91999,128,0
ASUS,Ryzen,AMD,Ryzen 7,Missing,8,DDR4,Windows,32,14,72400,512,3.8
Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,Windows,64,15.6,39999,256,4.3
HP,Spectre,Intel,Core i5,10th,8,DDR4,Windows,64,13.3,114990,512,4.4
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,Windows,32,15.6,52380,512,4.3
ASUS,ROG,AMD,Ryzen 9,Missing,32,LPDDR4X,Windows,64,13.4,142990,1024,0
ASUS,Zephyrus,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,14,121990,1024,4.5
DELL,DELL,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,65990,512,4.5
